"","Variable","Influence"
"1","v98",78.6807878836841
"2","v224",5.89618883265046
"3","v101",4.01415780870984
"4","v79",1.50488098574829
"5","v74",1.07390190131226
"6","v180",0.822774434821716
"7","v99",0.788059383462039
"8","v223",0.726547583074835
"9","EU_region_North_Europe",0.49051714082115
"10","v178",0.476593305032491
"11","v82",0.435450134569766
"12","v81",0.39834604026421
"13","v234",0.38542045501037
"14","v253",0.345902938174104
"15","EU_region_East_Europe",0.317817437407078
"16","v130given",0.265978055028746
"17","v225",0.248099666590254
"18","v156",0.234744590463784
"19","v233",0.22079468318733
"20","v227",0.189488155212246
"21","v3",0.175231559971505
"22","v220",0.174998363843558
"23","v244",0.119418918347282
"24","v122",0.111459455150095
"25","v241",0.104049963791075
"26","v153",0.101677590418631
"27","v126given",0.0971298740993092
"28","v226",0.0956994433795518
"29","v185",0.0861043314351074
"30","v2",0.0769107132316042
"31","v242",0.0705874687879364
"32","v150",0.0666882670976609
"33","v179",0.0634275235783152
"34","v104",0.061263673415851
"35","v186",0.0552213614181552
"36","v189",0.0504171976576877
"37","v143",0.0466373208188304
"38","EU_region_Other_Europe",0.0464411648994078
"39","v163",0.0426688631381651
"40","v249",0.0399644444370479
"41","v166",0.0376479782481315
"42","v181",0.0359806561368612
"43","v140",0.0320072970878241
"44","v251",0.0269303059918926
"45","v80",0.0255782821404133
"46","v250",0.0245169737530215
"47","v13",0.0236230531637975
"48","EU_region_British_Isles_Europe",0.0232169249811756
"49","v255",0.0218288417886618
"50","v236",0.0217399751684558
"51","v190_Religion_now5",0.0214972138743578
"52","v70",0.0197797991492358
"53","v224given",0.0197030776293021
"54","v217",0.0195177775108199
"55","DontKnows",0.0190066534419923
"56","v83",0.018751763836263
"57","v84",0.0185950528585403
"58","NoAnswers",0.0181705021249478
"59","Refusals",0.0171366707248231
"60","v132given",0.0165273714681298
"61","v142",0.0146145579683425
"62","v174",0.0129006519284134
"63","v64",0.012614421109702
"64","v132",0.012458423457527
"65","v35",0.0122677172270587
"66","v222",0.0113207286506739
"67","v159",0.0112308388203242
"68","v62given",0.0109224423068645
"69","v105",0.0109061634257841
"70","v190_Religion_now3",0.0104717481566802
"71","v135",0.00963981919095101
"72","v239",0.00926729503350469
"73","v58given",0.00846423355802369
"74","v248",0.00818906588743175
"75","v102",0.00795617235030133
"76","v63",0.00791770732394928
"77","v57",0.00706931595338094
"78","TotNonAnswers",0.00659955255396316
"79","v228",0.00644843538514404
"80","v1",0.00641833608598618
"81","v183",0.00636336606394666
"82","v24",0.00615433173248175
"83","v219",0.00605775334932401
"84","v243",0.0060141692629994
"85","v223given",0.00582684858796757
"86","v121",0.00573279987970418
"87","v60given",0.00559207488302453
"88","v157",0.00557645254816859
