Field,.,.a,.b,.c,.d,NA
v1,,Refusal,Don't know,No answer,,
v2,,Refusal,Don't know,No answer,,
v3,,No Answer,,,,
v4,,Refusal,Don't know,No answer,,
v5,,Not applicable,Refusal,Don't know,No answer,
v6,,Refusal,Don't know,No answer,,
v7,,Refusal,Don't know,No answer,,
v8,,Refusal,Don't know,No answer,,
v9,,Refusal,Don't know,No answer,,
v10,,Refusal,Don't know,No answer,,
v11,,Not applicable,Refusal,Don't know,No answer,
v12,,Not available,,,,
v13,,Refusal,Don't know,No answer,,
v14,,Refusal,Don't know,No answer,,
v15,,,,,,
v16,,,,,,
v17,,,,,,
v18,,Refusal,Don't know,No answer,,
v19,,Refusal,Don't know,No answer,,
v20,,,,,,
v21,,Refusal,Don't know,No answer,,
v22,,Not applicable,Refusal,Don't know,No answer,
v23,,Not applicable,Refusal,Don't know,No answer,
v24,,Refusal,Don't know,No answer,,
v25,,,,,,
v26,,,,,,
v27,,,,,,
v28,,,,,,
v29,,,,,,
v30,,,,,,
v31,,,,,,
v32,,,,,,
v33,,,,,,
v34,,,,,,
v35,,Refusal,Don't know,No answer,,
v36,,,,,,
v37,,,,,,
v38,,,,,,
v39,,,,,,
v40,,,,,,
v41,,,,,,
v42,,,,,,
v43,,Refusal,Don't know,No answer,,
v44,,,,,,
v45,,,,,,
v46,,,,,,
v47,,,,,,
v48,,,,,,
v49,,,,,,
v50,,,,,,
v51,,,,,,
v52,,,,,,
v53,,Refusal,Don't know,No answer,,
v54,,,,,,
v55,,,,,,
v56,,Refusal,Don't know,No answer,,
v57,,Refusal,Don't know,No answer,,
v58,Nothing,Refusal,Don't know,No answer,,
v59,Nothing,Refusal,Don't know,No answer,,
v60,Nothing,Refusal,Don't know,No answer,,
v61,Nothing,Refusal,Don't know,No answer,,
v62,Nothing,Not applicable,Refusal,Don't know,No answer,
v63,Nothing,Not applicable,Refusal,Don't know,No answer,
v64,,Refusal,Don't know,No answer,,
v65,,Refusal,Don't know,No answer,,
v66,Nothing,Refusal,Don't know,No answer,,
v67,Nothing,Refusal,Don't know,No answer,,
v68,Nothing,Not applicable,Refusal,Don't know,No answer,
v69,,Not applicable,Refusal,Don't know,No answer,
v70,,Not applicable,Refusal,Don't know,No answer,
v71,,Not applicable,Refusal,Don't know,No answer,
v72,,Refusal,Don't know,No answer,,
v73,,Refusal,Don't know,No answer,,
v74,,Refusal,Don't know,No answer,,
v75,,Not applicable,Refusal,Don't know,No answer,
v76,,Refusal,Don't know,No answer,,
